game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report,games_szn,minutes_szn,gk_saves_szn,clearances_szn,tackles_szn,assisted_shots_szn,fouled_szn,shots_szn,crosses_szn,shots_on_target_szn,passes_szn,interceptions_szn,fouls_szn,goals_szn,assists_szn,cards_yellow_szn,game_count_szn,games_l5,minutes_l5,gk_saves_l5,clearances_l5,tackles_l5,assisted_shots_l5,fouled_l5,shots_l5,crosses_l5,shots_on_target_l5,passes_l5,interceptions_l5,fouls_l5,goals_l5,assists_l5,cards_yellow_l5,game_count_l5,passes_l5_minus_szn,opp_passes_against
Y,3,0,90,0,0,2,0,0,1,0,0,69,2,0,0,0,0,Sun,Premier League,Matchweek 3,Away,W 3-1,Aston Villa,Burnley,CB,0.0,0.0,0.0,80.0,0.0,0.1,0.1,0.0,0.0,0.0,53.0,76.8,2.0,45.0,0.0,2.0,1.0,Match Report,0.0,27.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.5,20.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,27.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.5,20.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0392280842445085
Y,4,0,18,0,0,0,0,0,0,0,0,10,0,0,0,0,0,Sun,Premier League,Matchweek 4,Away,L 0-3,Aston Villa,Liverpool,CB,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,1.0,9.0,0.0,0.0,0.0,Match Report,0.0,48.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.3333333333333333,36.666666666666664,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,48.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.3333333333333333,36.666666666666664,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.8006518308324209
Y,5,0,90,0,0,0,0,0,0,0,0,66,1,0,0,0,0,Sun,Premier League,Matchweek 8,Away,D 1-1,Aston Villa,Wolves,CB,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,90.9,6.0,44.0,0.0,0.0,0.0,Match Report,0.0,40.5,0.0,0.0,1.5,0.0,0.0,0.75,0.0,0.25,30.0,0.5,0.0,0.0,0.0,0.0,2.5,0.0,40.5,0.0,0.0,1.5,0.0,0.0,0.75,0.0,0.25,30.0,0.5,0.0,0.0,0.0,0.0,2.5,0.0,1.0417469888808353
N,6,0,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,Sun,Premier League,Matchweek 10,Home,W 3-1,Aston Villa,Luton Town,CB,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,90.9,0.0,10.0,0.0,0.0,0.0,Match Report,0.0,50.4,0.0,0.0,1.2,0.0,0.0,0.6,0.0,0.2,37.2,0.6,0.0,0.0,0.0,0.0,3.0,0.0,50.4,0.0,0.0,1.2,0.0,0.0,0.6,0.0,0.2,37.2,0.6,0.0,0.0,0.0,0.0,3.0,0.0,1.0757779045797797
N,7,0,13,0,0,0,0,0,0,0,0,23,0,0,0,0,0,Sun,Premier League,Matchweek 11,Away,L 0-2,Aston Villa,Nott'ham Forest,CB,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,91.3,3.0,22.0,0.0,0.0,0.0,Match Report,0.0,44.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.16666666666666666,32.833333333333336,0.5,0.0,0.0,0.0,0.0,3.5,0.0,47.4,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,36.4,0.6,0.0,0.0,0.0,0.0,4.0,3.566666666666663,1.1842964288101
Y,8,0,90,0,0,1,0,0,1,0,0,33,1,0,0,0,0,Sun,Premier League,Matchweek 13,Away,W 2-1,Aston Villa,Tottenham,CB,0.0,0.0,0.0,43.0,1.0,0.1,0.1,0.0,0.0,0.0,30.0,90.9,1.0,19.0,0.0,0.0,0.0,Match Report,0.0,39.57142857142857,0.0,0.0,0.8571428571428571,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,31.428571428571427,0.42857142857142855,0.0,0.0,0.0,0.0,4.0,0.0,44.6,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,35.8,0.6,0.0,0.0,0.0,0.0,5.0,4.37142857142857,0.7767993461129188
Y,9,0,90,0,0,1,0,0,0,0,0,83,1,0,0,0,0,Sun,Premier League,Matchweek 14,Away,D 2-2,Aston Villa,Bournemouth,CB,0.0,0.0,0.0,93.0,2.0,0.0,0.0,0.0,0.0,0.0,70.0,84.3,5.0,51.0,0.0,0.0,0.0,Match Report,0.0,45.875,0.0,0.0,0.875,0.0,0.0,0.5,0.0,0.125,31.625,0.5,0.0,0.0,0.0,0.0,4.5,0.0,44.6,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,28.6,0.4,0.0,0.0,0.0,0.0,6.0,-3.0249999999999986,1.0297693403040162
Y,10,0,90,0,0,0,0,0,0,0,0,60,0,0,0,0,0,Wed,Premier League,Matchweek 15,Home,W 1-0,Aston Villa,Manchester City,CB,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,90.0,3.0,46.0,0.0,0.0,0.0,Match Report,0.0,50.77777777777778,0.0,0.0,0.8888888888888888,0.0,0.0,0.4444444444444444,0.0,0.1111111111111111,37.333333333333336,0.5555555555555556,0.0,0.0,0.0,0.0,5.0,0.0,59.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,43.2,0.6,0.0,0.0,0.0,0.0,7.0,5.866666666666667,0.7643590415824889
Y,11,0,90,0,0,5,0,0,0,0,0,38,0,0,0,0,1,Sat,Premier League,Matchweek 16,Home,W 1-0,Aston Villa,Arsenal,CB,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,76.3,1.0,25.0,0.0,0.0,0.0,Match Report,0.0,54.7,0.0,0.0,0.8,0.0,0.0,0.4,0.0,0.1,39.6,0.5,0.0,0.0,0.0,0.0,5.5,0.0,59.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,42.0,0.4,0.0,0.0,0.0,0.0,8.0,2.3999999999999986,0.834888371399637
Y,12,0,90,0,0,2,0,0,0,0,0,58,0,0,0,0,0,Sun,Premier League,Matchweek 17,Away,W 2-1,Aston Villa,Brentford,CB,0.0,0.0,0.0,72.0,1.0,0.0,0.0,0.0,2.0,0.0,51.0,87.9,11.0,39.0,2.0,0.0,0.0,Match Report,0.0,57.90909090909091,0.0,0.0,1.1818181818181819,0.0,0.0,0.36363636363636365,0.0,0.09090909090909091,39.45454545454545,0.45454545454545453,0.0,0.0,0.0,0.09090909090909091,6.0,0.0,74.6,0.0,0.0,1.4,0.0,0.0,0.2,0.0,0.0,47.4,0.4,0.0,0.0,0.0,0.2,9.0,7.945454545454545,1.0532105752869751
