name,opponent,Points,Fantasy Score,Pts+Rebs+Asts,Pts+Rebs,Pts+Asts,Rebs+Asts,Turnovers,Steals,Assists,Rebounds,3-PT Made,Blocked Shots
Chris Youngblood,RMU,12,,16,14.5,13,4,,,,2.5,,
Mark Sears,RMU,20.5,33.5,29.5,24,25.5,9.5,2.5,,,,,
Alvaro Folgueiras,ALA,14,31.5,24.5,21.5,17,10.5,2.5,,,7.5,,
Kam Woods,ALA,15,29.5,24.5,20,20,9.5,,,,5,,
Amarion Dickerson,ALA,12,,18,17,13,,1.5,,,4.5,,
Curtis Jones,LIP,17.5,27.5,24,21.5,20,6.5,,,,,,
Joshua Jefferson,LIP,14,30.5,24,20.5,17.5,10,,1.5,3.5,,,0.5
Milan Momcilovic,LIP,13.5,,17.5,17,14.5,,,,,,,
Jacob Ognacevic,ISU,17.5,28.5,26.5,25.5,19.5,8.5,,,,,,
Joe Anderson,ISU,12.5,,19.5,15.5,16.5,6.5,,,3.5,,,
Will Pruitt,ISU,12.5,,19.5,18,14.5,,,,,5.5,,
Dain Dainja,CSU,18.5,35.5,28.5,27.5,20.5,10,,,,8,,
PJ Haggerty,CSU,20.5,35.5,30.5,26.5,25,9.5,,,,5.5,,
Nique Clifford,MEM,20.5,40.5,34.5,29.5,25.5,13.5,,,,9,,
Augustas Marciulionis,VAN,15,30.5,25.5,18.5,21,10.5,,,6,,,
Jordan Ross,VAN,7.5,,,,,,,,,,,
Luke Barrett,VAN,8.5,,16.5,15.5,,8,1.5,,,,,
Mitchell Saxen,VAN,11,28.5,20.5,19.5,12.5,9.5,,,1.5,,,1.5
Paulius Murauskas,VAN,12,,20,,,8,,,,,,
AJ Hoggard,SMC,8,18.5,15,,12.5,7,,,,,,
Devin McGlockton,SMC,8.5,,16,15.5,9.5,7.5,,,,6.5,,
Jason Edwards,SMC,16.5,,19.5,18.5,17.5,,,,,,,
Tyler Nickel,SMC,8.5,,11.5,10.5,,,,0.5,,,,
Jaylen Carey,SMC,,,,,,,,,,4.5,,
Tyler Tanner,SMC,,,,,,,,,1.5,,,
Duke Brennan,MD,9,,18,17,,8.5,,,,,,
JaKobe Coles,MD,14.5,25.5,22,19.5,16.5,7,,,,,,
Rayshon Harrison,MD,12,,17.5,15,14.5,,,,2.5,,,
Tyon Grant-Foster,MD,13,24.5,20,18,15,7,,,,,,
Derik Queen,GC,18,36.5,30.5,28.5,20,12.5,,,,10.5,,
Ja'Kobi Gillespie,GC,15,27.5,24,18.5,21,8.5,,,5,,2.5,
Julian Reese,GC,12.5,30.5,22.5,21.5,14,9.5,,,,8.5,,
Rodney Rice,GC,14.5,,19,17,17,,,,,,,
Selton Miguel,GC,12.5,,17,15,14.5,,1.5,,,,,
Alex Condon,NORF,12.5,28.5,23,20.5,15,,,,,,0.5,
Alijah Martin,NORF,14.5,24,20.5,18.5,16.5,6,,,,,,
Walter Clayton Jr.,NORF,17.5,32,27,22,23,9,1.5,,,,,
Will Richard,NORF,12.5,,18,16.5,14.5,5,,,1.5,3.5,,
Rueben Chinyelu,NORF,6.5,,13.5,13,,,,,,5.5,,
Brian Moore,FLA,13.5,22.5,19.5,17.5,16.5,,,,,,,
Christian Ings,FLA,10,,15.5,13,12.5,5.5,,,2.5,,,
Amari Williams,TROY,12.5,30.5,23.5,20.5,,,,,,8,,
Andrew Carr,TROY,10.5,,17.5,16,,,,,,,,
Koby Brea,TROY,12,,16.5,15.5,,,,,,,,
Otega Oweh,TROY,18.5,29.5,24,23,,,,,,,,
Jackson Fields,UK,8,,13.5,12.5,,,,,,4.5,,
Marcus Rigsby,UK,7,,11.5,9.5,8.5,4.5,1.5,0.5,1.5,,,
Myles Rigsby,UK,13.5,,19,17.5,15,,,,,,,
Tayton Conerway,UK,16,31.5,25.5,21,20,9,2.5,,,,,
Thomas Dowd,UK,10.5,26.5,18.5,,11.5,7.5,0.5,,,7,1.5,
